date,channel,revenue
2026-01-01,organic,6754.00
2026-01-01,paid,3914.00
2026-01-01,referral,1425.00
2026-01-02,organic,6874.00
2026-01-02,paid,4096.00
2026-01-02,referral,1665.00
2026-01-03,organic,6358.00
2026-01-03,paid,3972.00
2026-01-03,referral,2184.00
2026-01-04,organic,6249.00
2026-01-04,paid,4537.00
2026-01-04,referral,2203.00
2026-01-05,organic,6718.00
2026-01-05,paid,3949.00
2026-01-05,referral,2064.00
2026-01-06,organic,6607.00
2026-01-06,paid,3907.00
2026-01-06,referral,1505.00
2026-01-07,organic,6285.00
2026-01-07,paid,4113.00
2026-01-07,referral,1728.00
2026-01-08,organic,6722.00
2026-01-08,paid,4521.00
2026-01-08,referral,1532.00
2026-01-09,organic,6794.00
2026-01-09,paid,4123.00
2026-01-09,referral,2253.00
2026-01-10,organic,6900.00
2026-01-10,paid,4653.00
2026-01-10,referral,2093.00
2026-01-11,organic,6679.00
2026-01-11,paid,4175.00
2026-01-11,referral,2009.00
2026-01-12,organic,6868.00
2026-01-12,paid,4249.00
2026-01-12,referral,1571.00
2026-01-13,organic,7057.00
2026-01-13,paid,4143.00
2026-01-13,referral,2294.00
2026-01-14,organic,6727.00
2026-01-14,paid,4343.00
2026-01-14,referral,1879.00
2026-01-15,organic,6469.00
2026-01-15,paid,4230.00
2026-01-15,referral,2391.00
2026-01-16,organic,6669.00
2026-01-16,paid,4129.00
2026-01-16,referral,1719.00
2026-01-17,organic,6729.00
2026-01-17,paid,4139.00
2026-01-17,referral,2007.00
2026-01-18,organic,6707.00
2026-01-18,paid,4673.00
2026-01-18,referral,1925.00
2026-01-19,organic,6414.00
2026-01-19,paid,4817.00
2026-01-19,referral,2140.00
2026-01-20,organic,6934.00
2026-01-20,paid,4212.00
2026-01-20,referral,2072.00
2026-01-21,organic,6480.00
2026-01-21,paid,4665.00
2026-01-21,referral,2000.00
2026-01-22,organic,7058.00
2026-01-22,paid,4748.00
2026-01-22,referral,2085.00
2026-01-23,organic,7021.00
2026-01-23,paid,4326.00
2026-01-23,referral,2451.00
2026-01-24,organic,6516.00
2026-01-24,paid,4191.00
2026-01-24,referral,2422.00
2026-01-25,organic,6693.00
2026-01-25,paid,4951.00
2026-01-25,referral,2056.00
2026-01-26,organic,6556.00
2026-01-26,paid,4413.00
2026-01-26,referral,1878.00
2026-01-27,organic,6879.00
2026-01-27,paid,4474.00
2026-01-27,referral,2254.00
2026-01-28,organic,7155.00
2026-01-28,paid,4578.00
2026-01-28,referral,1971.00
2026-01-29,organic,6899.00
2026-01-29,paid,4583.00
2026-01-29,referral,2034.00
2026-01-30,organic,7221.00
2026-01-30,paid,4508.00
2026-01-30,referral,2553.00
2026-01-31,organic,7249.00
2026-01-31,paid,4913.00
2026-01-31,referral,1923.00
2026-02-01,organic,7188.00
2026-02-01,paid,4915.00
2026-02-01,referral,2040.00
2026-02-02,organic,7126.00
2026-02-02,paid,5026.00
2026-02-02,referral,2130.00
2026-02-03,organic,6762.00
2026-02-03,paid,4768.00
2026-02-03,referral,2283.00
2026-02-04,organic,6886.00
2026-02-04,paid,4965.00
2026-02-04,referral,2614.00
2026-02-05,organic,7195.00
2026-02-05,paid,4549.00
2026-02-05,referral,2626.00
2026-02-06,organic,6972.00
2026-02-06,paid,5126.00
2026-02-06,referral,2734.00
2026-02-07,organic,6712.00
2026-02-07,paid,4589.00
2026-02-07,referral,1987.00
2026-02-08,organic,6993.00
2026-02-08,paid,4780.00
2026-02-08,referral,2244.00
2026-02-09,organic,6752.00
2026-02-09,paid,4601.00
2026-02-09,referral,2565.00
2026-02-10,organic,7435.00
2026-02-10,paid,4722.00
2026-02-10,referral,2217.00
2026-02-11,organic,7386.00
2026-02-11,paid,4926.00
2026-02-11,referral,2420.00
2026-02-12,organic,7388.00
2026-02-12,paid,4899.00
2026-02-12,referral,2176.00
2026-02-13,organic,7016.00
2026-02-13,paid,4587.00
2026-02-13,referral,2297.00
2026-02-14,organic,7522.00
2026-02-14,paid,5034.00
2026-02-14,referral,2611.00
2026-02-15,organic,7044.00
2026-02-15,paid,5239.00
2026-02-15,referral,2673.00
2026-02-16,organic,7228.00
2026-02-16,paid,5087.00
2026-02-16,referral,2498.00
2026-02-17,organic,7175.00
2026-02-17,paid,4729.00
2026-02-17,referral,2246.00
2026-02-18,organic,7341.00
2026-02-18,paid,5025.00
2026-02-18,referral,2213.00
2026-02-19,organic,7608.00
2026-02-19,paid,4583.00
2026-02-19,referral,2247.00
2026-02-20,organic,7006.00
2026-02-20,paid,5192.00
2026-02-20,referral,2313.00
2026-02-21,organic,7561.00
2026-02-21,paid,4997.00
2026-02-21,referral,2775.00
2026-02-22,organic,6945.00
2026-02-22,paid,4974.00
2026-02-22,referral,2570.00
2026-02-23,organic,7505.00
2026-02-23,paid,5074.00
2026-02-23,referral,2736.00
2026-02-24,organic,7167.00
2026-02-24,paid,5176.00
2026-02-24,referral,2221.00
2026-02-25,organic,7621.00
2026-02-25,paid,5363.00
2026-02-25,referral,2342.00
2026-02-26,organic,7638.00
2026-02-26,paid,5189.00
2026-02-26,referral,3008.00
2026-02-27,organic,7228.00
2026-02-27,paid,5442.00
2026-02-27,referral,2911.00
2026-02-28,organic,7318.00
2026-02-28,paid,4784.00
2026-02-28,referral,2570.00
2026-03-01,organic,7430.00
2026-03-01,paid,4846.00
2026-03-01,referral,2749.00
