date,plan,channel,mrr
2024-01-01,Enterprise,Organic,2942.66
2024-01-01,Enterprise,Paid,1977.52
2024-01-01,Enterprise,Referral,894.49
2024-01-01,SMB,Organic,2332.00
2024-01-01,SMB,Paid,1494.68
2024-01-01,SMB,Referral,653.82
2024-01-01,Self-serve,Organic,1300.97
2024-01-01,Self-serve,Paid,898.59
2024-01-01,Self-serve,Referral,388.60
2024-01-02,Enterprise,Organic,2846.57
2024-01-02,Enterprise,Paid,2098.88
2024-01-02,Enterprise,Referral,896.85
2024-01-02,SMB,Organic,2276.64
2024-01-02,SMB,Paid,1644.29
2024-01-02,SMB,Referral,691.20
2024-01-02,Self-serve,Organic,1264.90
2024-01-02,Self-serve,Paid,918.91
2024-01-02,Self-serve,Referral,378.31
2024-01-03,Enterprise,Organic,2948.15
2024-01-03,Enterprise,Paid,2007.71
2024-01-03,Enterprise,Referral,856.96
2024-01-03,SMB,Organic,2188.49
2024-01-03,SMB,Paid,1621.25
2024-01-03,SMB,Referral,667.13
2024-01-03,Self-serve,Organic,1260.24
2024-01-03,Self-serve,Paid,884.21
2024-01-03,Self-serve,Referral,389.11
2024-01-04,Enterprise,Organic,2909.23
2024-01-04,Enterprise,Paid,2039.32
2024-01-04,Enterprise,Referral,874.46
2024-01-04,SMB,Organic,2382.00
2024-01-04,SMB,Paid,1547.64
2024-01-04,SMB,Referral,661.14
2024-01-04,Self-serve,Organic,1247.75
2024-01-04,Self-serve,Paid,911.82
2024-01-04,Self-serve,Referral,396.69
2024-01-05,Enterprise,Organic,2818.85
2024-01-05,Enterprise,Paid,1930.06
2024-01-05,Enterprise,Referral,827.57
2024-01-05,SMB,Organic,2242.89
2024-01-05,SMB,Paid,1574.31
2024-01-05,SMB,Referral,670.74
2024-01-05,Self-serve,Organic,1232.02
2024-01-05,Self-serve,Paid,886.11
2024-01-05,Self-serve,Referral,378.46
2024-01-06,Enterprise,Organic,2303.73
2024-01-06,Enterprise,Paid,1643.98
2024-01-06,Enterprise,Referral,691.22
2024-01-06,SMB,Organic,1816.37
2024-01-06,SMB,Paid,1248.60
2024-01-06,SMB,Referral,538.66
2024-01-06,Self-serve,Organic,1036.47
2024-01-06,Self-serve,Paid,680.92
2024-01-06,Self-serve,Referral,302.24
2024-01-07,Enterprise,Organic,2260.50
2024-01-07,Enterprise,Paid,1574.24
2024-01-07,Enterprise,Referral,682.18
2024-01-07,SMB,Organic,1863.31
2024-01-07,SMB,Paid,1215.91
2024-01-07,SMB,Referral,550.54
2024-01-07,Self-serve,Organic,967.60
2024-01-07,Self-serve,Paid,706.17
2024-01-07,Self-serve,Referral,307.21
2024-01-08,Enterprise,Organic,3005.22
2024-01-08,Enterprise,Paid,2111.41
2024-01-08,Enterprise,Referral,907.07
2024-01-08,SMB,Organic,2272.97
2024-01-08,SMB,Paid,1585.60
2024-01-08,SMB,Referral,706.84
2024-01-08,Self-serve,Organic,1305.04
2024-01-08,Self-serve,Paid,883.64
2024-01-08,Self-serve,Referral,380.38
2024-01-09,Enterprise,Organic,2877.00
2024-01-09,Enterprise,Paid,2101.91
2024-01-09,Enterprise,Referral,891.37
2024-01-09,SMB,Organic,2348.81
2024-01-09,SMB,Paid,1590.15
2024-01-09,SMB,Referral,693.63
2024-01-09,Self-serve,Organic,1339.62
2024-01-09,Self-serve,Paid,911.91
2024-01-09,Self-serve,Referral,399.89
2024-01-10,Enterprise,Organic,2851.28
2024-01-10,Enterprise,Paid,2014.15
2024-01-10,Enterprise,Referral,862.72
2024-01-10,SMB,Organic,2181.42
2024-01-10,SMB,Paid,1606.95
2024-01-10,SMB,Referral,669.22
2024-01-10,Self-serve,Organic,1293.39
2024-01-10,Self-serve,Paid,918.09
2024-01-10,Self-serve,Referral,393.07
2024-01-11,Enterprise,Organic,2972.45
2024-01-11,Enterprise,Paid,2033.96
2024-01-11,Enterprise,Referral,863.18
2024-01-11,SMB,Organic,2261.24
2024-01-11,SMB,Paid,1506.34
2024-01-11,SMB,Referral,650.48
2024-01-11,Self-serve,Organic,1243.84
2024-01-11,Self-serve,Paid,879.54
2024-01-11,Self-serve,Referral,393.23
2024-01-12,Enterprise,Organic,2786.61
2024-01-12,Enterprise,Paid,1982.34
2024-01-12,Enterprise,Referral,892.82
2024-01-12,SMB,Organic,2204.07
2024-01-12,SMB,Paid,1594.02
2024-01-12,SMB,Referral,649.64
2024-01-12,Self-serve,Organic,1265.23
2024-01-12,Self-serve,Paid,865.75
2024-01-12,Self-serve,Referral,378.04
2024-01-13,Enterprise,Organic,2376.14
2024-01-13,Enterprise,Paid,1538.32
2024-01-13,Enterprise,Referral,704.37
2024-01-13,SMB,Organic,1815.52
2024-01-13,SMB,Paid,1239.37
2024-01-13,SMB,Referral,517.34
2024-01-13,Self-serve,Organic,1032.32
2024-01-13,Self-serve,Paid,709.61
2024-01-13,Self-serve,Referral,311.19
2024-01-14,Enterprise,Organic,2323.37
2024-01-14,Enterprise,Paid,1703.40
2024-01-14,Enterprise,Referral,691.55
2024-01-14,SMB,Organic,1750.44
2024-01-14,SMB,Paid,1270.92
2024-01-14,SMB,Referral,545.34
2024-01-14,Self-serve,Organic,1074.01
2024-01-14,Self-serve,Paid,740.45
2024-01-14,Self-serve,Referral,312.89
2024-01-15,Enterprise,Organic,3121.85
2024-01-15,Enterprise,Paid,2018.74
2024-01-15,Enterprise,Referral,879.95
2024-01-15,SMB,Organic,2261.34
2024-01-15,SMB,Paid,1609.16
2024-01-15,SMB,Referral,668.98
2024-01-15,Self-serve,Organic,1354.47
2024-01-15,Self-serve,Paid,924.20
2024-01-15,Self-serve,Referral,381.15
2024-01-16,Enterprise,Organic,2904.61
2024-01-16,Enterprise,Paid,2116.85
2024-01-16,Enterprise,Referral,921.37
2024-01-16,SMB,Organic,2469.72
2024-01-16,SMB,Paid,1773.68
2024-01-16,SMB,Referral,707.73
2024-01-16,Self-serve,Organic,1291.98
2024-01-16,Self-serve,Paid,872.44
2024-01-16,Self-serve,Referral,402.66
2024-01-17,Enterprise,Organic,2873.80
2024-01-17,Enterprise,Paid,2036.25
2024-01-17,Enterprise,Referral,867.46
2024-01-17,SMB,Organic,2281.38
2024-01-17,SMB,Paid,1655.02
2024-01-17,SMB,Referral,690.55
2024-01-17,Self-serve,Organic,1302.94
2024-01-17,Self-serve,Paid,887.95
2024-01-17,Self-serve,Referral,373.02
2024-01-18,Enterprise,Organic,2907.81
2024-01-18,Enterprise,Paid,2062.27
2024-01-18,Enterprise,Referral,932.21
2024-01-18,SMB,Organic,2304.09
